"revenue","top","browser","platform","site"
0.00776943843268547,30.9602731291705,"safari","mobile",3
0.014156805607701,9.40058400290278,"chrome","desktop",3
0.0122753797773888,14.1199488319863,"safari","desktop",3
0.0106614882554566,29.9070545370937,"chrome","mobile",3
0.00947284187142993,19.3632264586303,"chrome","mobile",3
0.00617645820494863,20.6914934615515,"safari","mobile",4
0.00826814556437385,9.60096864605439,"chrome","mobile",4
0.00632831928919495,9.76504233515594,"chrome","mobile",2
0.00876230897437953,10.7436149034003,"chrome","mobile",2
0.0122542371574979,9.10155570695745,"safari","desktop",3
0.00734122719327969,11.9796512017936,"safari","mobile",2
0.00700850269424599,19.4384601758623,"safari","mobile",2
0.00636258609706847,23.3436268959235,"safari","mobile",2
0.0106938493186955,8.44233917110576,"safari","desktop",1
0.0104336231416902,18.2609732065633,"chrome","mobile",1
0.00609590043025647,19.8308911166086,"safari","mobile",3
0.0132940835699967,12.790110661125,"chrome","desktop",3
0.0143056180039869,14.50619738211,"chrome","desktop",4
0.00410721818995674,17.1302843168817,"safari","mobile",1
0.0139846720621539,2.28439602214985,"chrome","desktop",4
0.0139832667223559,8.64296576855354,"chrome","desktop",2
0.011386144188017,5.87860889164693,"safari","desktop",4
0.00967748879893385,4.76435336494166,"safari","desktop",3
0.0105497984558573,7.87665844583837,"safari","desktop",2
0.00599479879621294,20.50837304535,"safari","mobile",2
0.0116364046118194,10.9132693173031,"safari","desktop",3
0.012861939640223,4.21368158987848,"chrome","desktop",2
0.00710447832845358,25.1893685479742,"safari","mobile",2
0.00437357681705847,19.8569624527642,"safari","mobile",3
0.0136069708400247,1.11477595358379,"chrome","desktop",3
0.0135487788196985,9.93306911073714,"chrome","desktop",2
0.00513405359065544,23.0260142039179,"safari","mobile",2
0.011416752321897,5.52190519448901,"chrome","desktop",3
0.0121611752878781,3.0332468828456,"chrome","desktop",2
0.00834824765133307,34.3442695963051,"safari","mobile",1
0.00632348212004485,14.073497310901,"safari","mobile",2
0.00740847877227839,20.9620941062017,"safari","mobile",2
0.0076160364774071,13.6727958025996,"chrome","mobile",3
0.00593048381727197,17.4838720077583,"safari","mobile",2
0.0105804868608109,5.85717624329421,"chrome","desktop",3
0.0108374973014886,12.9125110268118,"chrome","mobile",3
0.0129687953470474,4.43224482955563,"chrome","desktop",2
0.00739721693404047,23.8835919244935,"safari","mobile",3
